"Term","Central_Estimate","Central_SE","Central_z","Central_p","Federated_Estimate","Federated_SE","Federated_z","Federated_p","Abs_Diff_Estimate"
"(Intercept)",1.36671059059901,0.190982590145032,7.15620512613809,8.29410081732565e-13,1.36671059060328,0.190982739768206,7.15619951971598,8.29336599394992e-13,4.26880752968373e-12
"age",-0.00727373022171902,0.00369380421600978,-1.96917048017679,0.048933517528473,-0.00727373022175557,0.0036938069747022,-1.96916900952627,0.0489336863520107,3.65471541918794e-14
"sexM",0.0196901249189417,0.073303685112562,0.268610300951534,0.788229584532492,0.0196901249190094,0.0733037421475511,0.268610091956502,0.788229745377853,6.76958489265189e-14
