"Term","Central_Estimate","Central_SE","Central_t","Central_p","Federated_Estimate","Federated_SE","Federated_t","Federated_p","Abs_Diff_Estimate"
"(Intercept)",2.07197702011174,0.244980505625929,8.45772203309732,3.84207953399636e-17,2.07197702011172,0.244980505625926,8.45772203309733,0,1.95399252334028e-14
"age",0.0125303693374181,0.00476682773586099,2.62865998767939,0.00860683759823744,0.0125303693374179,0.00476682773586096,2.62865998767935,0.00860683759823844,2.68882138776405e-16
"sexM",0.0177703504614943,0.0940148580440674,0.189016404759818,0.850090090857012,0.0177703504614933,0.0940148580440667,0.189016404759809,0.85009009085702,1.02695629777827e-15
